motif	HGNC	sub_cluster
TGIF2.H13CORE.1.PSM.A	TGIF2	1461
TBP.H13CORE.0.P.B	TBP	1462
EOMES.H13CORE.0.PSM.A	EOMES	1463
TBR1.H13CORE.0.PS.A	TBR1	1464
TBX21.H13CORE.0.PSM.A	TBX21	1465
TBX1.H13CORE.0.S.B	TBX1	1466
TBX15.H13CORE.0.SM.B	TBX15	1467
TBX18.H13CORE.0.M.C	TBX18	1468
TBX20.H13CORE.0.P.C	TBX20	1469
TBX20.H13CORE.1.M.C	TBX20	1470
TBX20.H13CORE.2.SM.B	TBX20	1471
TBX2.H13CORE.0.SM.B	TBX2	1472
TBX3.H13CORE.0.PSM.A	TBX3	1473
TBX4.H13CORE.0.PS.A	TBX4	1474
