motif	cluster	HGNC
MEIS3_MA0775.2	C_MEIS1	MEIS3
MEOX1_MA0661.2	C_mix-a	MEOX1
MEOX2_MA0706.2	C_mix-a	MEOX2
MGAEVX1_MA1960.2	C_MGA::EVX1	MGA::EVX1
MITF_MA0620.4	C_BHLHE41	MITF
MIXL1_MA0662.2	C_mix-a	MIXL1
MLXIPL_MA0664.2	C_ARNT2	MLXIPL
MNT_MA0825.2	C_Mlxip	MNT
MNX1_MA0707.3	C_mix-a	MNX1
MSANTD3_MA1523.2	C_MSANTD3	MSANTD3
MSX1_MA0666.3	C_Dlx2	MSX1
MSX2_MA0708.3	C_Dlx2	MSX2
MXI1_MA1108.3	C_MXI1	MXI1
MYB_MA0100.4	C_MYB	MYB
MYCN_MA0104.5	C_Mlxip	MYCN
MYF5_MA1641.2	C_Twist2	MYF5
MYOD1_MA0499.3	C_MYOD1	MYOD1
MYOG_MA0500.3	C_Twist2	MYOG
MZF1_MA0056.3	C_MZF1	MZF1
NEUROD1_MA1109.2	C_NEUROD1	NEUROD1
NEUROG2_MA1642.2	C_NEUROD1	NEUROG2
NFATC3_MA0625.3	C_NFATC3	NFATC3
NFATC4_MA1525.3	C_NFATC3	NFATC4
NFIA_MA0670.2	C_NFIA	NFIA
NFIB_MA1643.2	C_NFIB	NFIB
